id_candidat,id_hypothèse,borne_sup,borne_inf,resultat
1,1,8.7272,5.2728,7
2,1,4.1548,1.8452,3
3,1,21.6556,16.3444,19
4,1,9.8365,6.1635,8
5,1,9.8365,6.1635,8
6,1,2.9477,1.0523,2
7,1,15.2765,10.7235,13
8,1,1.6735,0.3265,1
9,1,5.3265,2.6735,4
10,1,1.6735,0.3265,1
11,1,10.9372,7.0628,9
12,1,27.9312,22.0688,25
4,2,9.8365,6.1635,8
2,2,7.6076,4.3924,6
9,2,4.1548,1.8452,3
10,2,1.6735,0.3265,1
3,2,28.9692,23.0308,26
13,2,15.2765,10.7235,13
12,2,28.9692,23.0308,26
6,2,2.9477,1.0523,2
8,2,1.6735,0.3265,1
1,2,7.6076,4.3924,6
11,2,9.8365,6.1635,8
14,3,9.8142,6.1858,8
10,3,1.6654,0.3346,1
1,3,7.5881,4.4119,6
6,3,2.9362,1.0638,2
12,3,28.9333,23.0667,26
7,3,15.2489,10.7511,13
3,3,22.6749,17.3251,20
8,3,1.6654,0.3346,1
11,3,10.9138,7.0862,9
9,3,4.1408,1.8592,3
2,3,4.1408,1.8592,3
4,3,9.8142,6.1858,8
6,4,2.9362,1.0638,2
7,4,15.2489,10.7511,13
9,4,4.1408,1.8592,3
11,4,10.9138,7.0862,9
2,4,4.1408,1.8592,3
4,4,9.8142,6.1858,8
13,4,14.1731,9.8269,12
3,4,20.5692,15.4308,18
10,4,1.6654,0.3346,1
8,4,1.6654,0.3346,1
1,4,6.4574,3.5426,5
12,4,27.8957,22.1043,25
5,5,13.3428,8.6572,11
1,5,7.7782,4.2218,6
11,5,10.0313,5.9687,8
6,5,2.4101,0.5899,1.5
7,5,16.5981,11.4019,14
12,5,29.2843,22.7157,26
8,5,1.0281,-0.0281,0.5
2,5,4.2773,1.7227,3
3,5,20.8766,15.1234,18
10,5,1.0281,-0.0281,0.5
9,5,3.669,1.331,2.5
4,5,10.0313,5.9687,8
15,5,1.745,0.255,1
7,6,16.5689,11.4311,14
1,6,7.7582,4.2418,6
13,6,18.7141,13.2859,16
12,6,28.2058,21.7942,25
9,6,3.0365,0.9635,2
3,6,18.7141,13.2859,16
15,6,1.7366,0.2634,1
2,6,3.0365,0.9635,2
11,6,8.889,5.111,7
8,6,1.0222,-0.0222,0.5
6,6,3.0365,0.9635,2
10,6,1.0222,-0.0222,0.5
4,6,10.0085,5.9915,8
4,7,7.8543,6.1457,7
2,7,3.5712,2.4288,3
15,7,1.3331,0.6669,1
10,7,0.7362,0.2638,0.5
12,7,28.4865,25.5135,27
8,7,0.7362,0.2638,0.5
14,7,8.9083,7.0917,8
1,7,6.2633,4.7367,5.5
9,7,2.4687,1.5313,2
7,7,18.2577,15.7423,17
11,7,8.9083,7.0917,8
6,7,2.4687,1.5313,2
3,7,19.8001,17.1999,18.5
9,8,2.4684,1.5316,2
1,8,6.2628,4.7372,5.5
10,8,0.736,0.264,0.5
5,8,11.0038,8.9962,10
15,8,1.3329,0.6671,1
6,8,2.4684,1.5316,2
11,8,8.9078,7.0922,8
7,8,18.2569,15.7431,17
8,8,0.736,0.264,0.5
2,8,3.0224,1.9776,2.5
4,8,7.8537,6.1463,7
12,8,27.4677,24.5323,26
3,8,19.2855,16.7145,18
3,9,18.2569,15.7431,17
13,9,16.1948,13.8052,15
6,9,1.9067,1.0933,1.5
1,9,5.7292,4.2708,5
4,9,7.8537,6.1463,7
15,9,0.736,0.264,0.5
11,9,8.9078,7.0922,8
8,9,0.736,0.264,0.5
7,9,17.2267,14.7733,16
10,9,0.736,0.264,0.5
2,9,3.0224,1.9776,2.5
9,9,1.9067,1.0933,1.5
12,9,26.4489,23.5511,25
7,10,16.7656,15.2344,16
11,10,8.5666,7.4334,8
6,10,2.2924,1.7076,2
9,10,2.2924,1.7076,2
15,10,1.2078,0.7922,1
2,10,3.3563,2.6437,3
8,10,1.2078,0.7922,1
4,10,9.5977,8.4023,9
3,10,15.7457,14.2543,15
12,10,24.8919,23.1081,24
10,10,1.2078,0.7922,1
1,10,5.4552,4.5448,5
13,10,13.7023,12.2977,13
15,11,1.2119,0.7881,1
6,11,2.2981,1.7019,2
3,11,25.922,24.078,25
11,11,8.5777,7.4223,8
10,11,1.2119,0.7881,1
2,11,5.4641,4.5359,5
4,11,10.6388,9.3612,10
1,11,5.4641,4.5359,5
5,11,13.7161,12.2839,13
12,11,27.9453,26.0547,27
9,11,2.2981,1.7019,2
8,11,1.2119,0.7881,1
2,12,3.3582,2.6418,3
11,12,8.5697,7.4303,8
8,12,1.2089,0.7911,1
12,12,26.9211,25.0789,26
3,12,16.7698,15.2302,16
10,12,1.2089,0.7911,1
4,12,10.1157,8.8843,9.5
7,12,17.2794,15.7206,16.5
6,12,2.294,1.706,2
14,12,9.6009,8.3991,9
1,12,5.4577,4.5423,5
15,12,1.2089,0.7911,1
